Date,Course,Chapter,Score,Time Taken
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:15:28,Cyber Security,Risk Management and Threats,57.14%,passed
2025-01-02 00:18:28,Cyber Security,Cryptography,37.5%,failed
2025-01-02 00:41:24,Cyber Security,Network Security,37.5%,failed
2025-01-02 00:43:59,Cyber Security,Network Security,50.0%,passed
2025-01-02 00:46:22,Cyber Security,Network Security,12.5%,failed
2025-01-02 00:47:44,Cyber Security,Cryptography,0.0%,failed
2025-01-02 01:15:38,Cyber Security,Cryptography,12.5%,failed
2025-01-02 01:16:43,Cyber Security,Risk Management and Threats,14.29%,failed
2025-01-02 01:24:23,Cyber Security,Cryptography,0.0%,failed
2025-01-02 01:58:27,Cyber Security,Risk Management and Threats,14.29%,failed
2025-01-02 02:00:30,Cyber Security,Risk Management and Threats,14.29%,failed
2025-01-02 05:22:08,Web Development,CSS Styling,78.57%,passed
2025-01-02 17:03:31,Machine Learning,Unsupervised Learning,25.0%,failed
2025-01-03 00:11:39,Cyber Security,Cryptography,0.0%,failed
2025-01-03 18:33:59,Machine Learning,Unsupervised Learning,25.0%,failed
2025-01-04 16:07:47,Web Development,HTML Basics,25.0%,failed
2025-01-07 15:21:46,Database,SQL Basics,100.0%,passed
2025-01-07 15:25:19,Python Programming,Python Basics,100.0%,passed
2025-01-14 20:21:11,Python Programming,Object-Oriented Programming,87.5%,passed
2025-01-15 03:33:17,Python Programming,Libraries and Frameworks,50.0%,passed
2025-01-15 19:25:41,Machine Learning,Model Evaluation and Hyperparameter Tuning,15.0%,failed
2025-01-15 19:59:03,Mobile App Dev,Kotlin Basics,40.0%,failed
2025-01-15 23:25:39,Mobile App Dev,Kotlin Basics,40.0%,failed
2025-01-15 23:37:53,Data Structures and Algorithms,Arrays and Linked Lists,33.33%,failed
2025-01-16 10:18:28,Database,NoSQL Databases,8.33%,failed
2025-01-16 10:46:17,Machine Learning,Unsupervised Learning,37.5%,failed
2025-01-17 19:50:23,Web Development,HTML Basics,58.33%,passed
2025-01-17 19:54:35,Cyber Security,Network Security,50.0%,passed
2025-01-17 19:57:21,Cyber Security,Cryptography,12.5%,failed
2025-01-17 20:01:06,Python Programming,Python Basics,50.0%,passed
2025-01-17 20:07:17,Data Structures and Algorithms,Arrays and Linked Lists,40.0%,failed
2025-01-17 20:12:48,Machine Learning,Supervised Learning,60.0%,passed
2025-01-17 20:37:53,Cyber Security,Network Security,50.0%,passed
2025-01-17 20:46:34,Data Structures and Algorithms,Trees and Graphs,66.67%,passed
2025-01-17 20:58:59,Python Programming,Object-Oriented Programming,0.0%,failed
2025-01-17 21:06:07,Mobile App Dev,Kotlin Basics,60.0%,passed
2025-01-17 21:06:30,Database,Database Design,8.33%,failed
2025-01-17 21:10:12,Cyber Security,Network Security,50.0%,passed
2025-01-17 21:40:19,Python Programming,Object-Oriented Programming,0.0%,failed
2025-01-17 21:41:54,Machine Learning,Supervised Learning,20.0%,failed
2025-01-17 22:23:38,Cyber Security,Network Security,12.5%,failed
2025-01-17 22:24:18,Cloud Computing,Cloud Fundamentals,40.0%,failed
2025-01-17 22:28:13,Python Programming,Libraries and Frameworks,12.5%,failed
2025-01-17 22:28:33,Mobile App Dev,Flutter Basics,60.0%,passed
2025-01-17 22:31:38,Python Programming,Object-Oriented Programming,0.0%,failed
2025-01-17 22:34:19,Cyber Security,Network Security,50.0%,passed
